handle,contest_count,max_rating,friends_count,problem_count,rating
evil666man,26,2403,631,562,2403
biswajitsc,20,2097,148,187,2097
ChestnutRice,70,2005,96,838,2005
anuraganand,55,2163,397,659,1950
acraider,15,1941,49,207,1941
nanu,72,1934,40,299,1908
arkanath,35,1932,78,111,1865
sanyam,34,1983,73,214,1822
piyushrathipr,29,1826,28,195,1819
manavs19,10,1763,6,35,1763
rahul_iit,62,1870,46,421,1763
sourrvvvyy,28,1761,9,243,1761
gupta97,10,1844,23,53,1737
ninda029,12,1736,10,21,1735
saurabh060792,17,1719,20,87,1719
sauravray2587,29,1727,29,222,1709
ragnarok0211,17,1756,7,37,1677
adi1998,40,1683,15,265,1649
fsociety00,19,1736,45,346,1643
raghav_agarwal,17,1676,19,75,1637
asquare10,11,1666,19,92,1629
shrihariabhat,11,1740,5,27,1627
meetjoshi,38,1659,8,188,1620
arnavkj95,28,1596,7,158,1580
jatin_27,43,1696,10,302,1580
rajeevkgp,51,1705,21,432,1580
sidrakesh,6,1571,5,17,1571
sudeepraja94,7,1661,14,88,1559
tejas3037,11,1538,7,32,1538
sumanth232,10,1674,9,31,1536
LaserBoy,8,1567,19,36,1529
ayush07,17,1716,7,68,1523
shubhparekh,32,1666,8,78,1523
shashwat001,28,1718,20,58,1521
ankeshanand,12,1609,5,38,1520
p_d,5,1697,11,9,1502
rakesh411,20,1550,4,64,1493
arijitpanigrahy,10,1548,4,120,1472
rossatron,8,1594,13,23,1464
pinku22,6,1511,2,32,1463
Code_Lion,5,1445,3,46,1445
manyfacedboy,1,1435,1,32,1435
nks43,10,1515,7,132,1433
hargup,5,1611,11,11,1432
Code_chat,5,1431,10,114,1431
rajrishav,11,1598,1,93,1427
skgdkg,16,1482,6,80,1427
sasiprasanth,30,1603,5,308,1425
harne.sudutt11,1,1408,1,1,1408
VikramVarun,4,1427,0,28,1407
dipayan92,3,1493,2,7,1398
harshitgargjpr,9,1397,5,34,1397
Rik001,10,1509,1,29,1395
Jatin86400,4,1444,7,48,1389
tejus_gupta,5,1515,2,24,1389
cvikas54,4,1594,5,12,1383
Jilun,14,1642,5,29,1382
abhishek12,38,1619,15,156,1378
pramesh94,15,1614,16,28,1378
abhinavagarwal1996,4,1544,5,140,1371
dvssrockz,2,1437,1,52,1371
herculan27,10,1528,10,163,1365
manasvi2001,10,1554,7,30,1364
VaibhavAgarwal,9,1429,7,54,1360
codesum,21,1446,7,50,1347
mega_mind_123,3,1508,0,61,1336
achilles7,11,1458,2,14,1328
codehacker_999,9,1501,3,36,1317
rashiddilkash,3,1429,0,28,1312
pa1_reddy,7,1409,0,31,1304
skpro19,98,1609,13,808,1303
a_prakash,23,1690,19,85,1296
sgdgp.2014,10,1382,1,89,1275
aniketchoudhary1743,16,1445,1,58,1272
rahulsharma,20,1461,2,36,1261
Gauravg22,5,1409,10,67,1235
Techievena,4,1408,1,6,1228
kgdrathan,10,1404,0,16,1193
coder_on_fire,15,1395,0,23,823
yashChandnani,71,2389,565,358,2389
alecsyde,75,2578,806,545,2375
infiniteloop17,12,2221,199,91,2175
gravito12345,29,2050,76,251,2037
kaushal02,30,2020,101,214,2020
triveni,72,2102,561,483,2017
Dopahkiin,73,2121,180,427,1999
ace_pocket,44,2041,135,294,1970
TerryMcGinnis,76,2078,169,311,1957
Beast_Within,61,2034,190,446,1956
excelsior,56,2090,69,267,1945
tvanicraath,11,1945,42,71,1945
-Voyager-,19,1944,26,168,1944
siddharthnohria,41,1975,46,250,1938
dwivedi,42,1927,21,223,1927
APwhitehat,46,1950,70,481,1914
ashpsycho,47,1972,80,118,1907
0101-1001,74,1931,54,354,1895
aryanc403,43,1923,124,320,1894
vtantia,12,1869,18,50,1869
shaswatk,38,1865,12,104,1865
abhilak,31,1977,136,147,1862
ayang,18,1883,11,39,1857
ajs97,93,2178,296,609,1842
anayMehrotra,49,2013,89,372,1828
vibhav,33,1819,19,290,1819
ymahajan98,61,1891,32,194,1814
dhawalupadhyay,27,2028,72,196,1801
jrupani,20,1786,10,69,1786
mhussain,1,1783,10,10,1783
1.7.2.9,21,1781,23,64,1781
